tienda,camion,id_zona,x,y,carga_total
6,4,271,9,0,79999030
6,4,272,9,1,79999030
6,4,273,9,2,79999030
6,4,274,9,3,79999030
6,4,275,9,4,79999030
6,4,276,9,5,79999030
6,4,277,9,6,79999030
6,4,278,9,7,79999030
6,4,279,9,8,79999030
6,4,280,9,9,79999030
6,4,281,9,10,79999030
6,4,301,10,0,79999030
6,4,302,10,1,79999030
6,4,303,10,2,79999030
6,4,304,10,3,79999030
6,4,305,10,4,79999030
6,4,306,10,5,79999030
6,4,307,10,6,79999030
6,4,308,10,7,79999030
6,4,309,10,8,79999030
6,4,310,10,9,79999030
6,4,331,11,0,79999030
6,4,332,11,1,79999030
6,4,333,11,2,79999030
6,4,334,11,3,79999030
6,4,335,11,4,79999030
6,4,336,11,5,79999030
6,4,337,11,6,79999030
6,4,338,11,7,79999030
6,4,339,11,8,79999030
6,4,361,12,0,79999030
6,4,362,12,1,79999030
6,4,363,12,2,79999030
6,4,364,12,3,79999030
6,4,365,12,4,79999030
6,4,34,1,3,79999030
6,5,34,1,3,68596829
6,5,365,12,4,68596829
6,5,366,12,5,68596829
6,5,367,12,6,68596829
6,5,368,12,7,68596829
6,5,369,12,8,68596829
6,5,391,13,0,68596829
6,5,392,13,1,68596829
6,5,393,13,2,68596829
6,5,394,13,3,68596829
6,5,395,13,4,68596829
6,5,396,13,5,68596829
6,5,397,13,6,68596829
6,5,398,13,7,68596829
6,5,421,14,0,68596829
6,5,422,14,1,68596829
6,5,423,14,2,68596829
6,5,424,14,3,68596829
6,5,425,14,4,68596829
6,5,426,14,5,68596829
6,5,427,14,6,68596829
6,5,428,14,7,68596829
6,5,451,15,0,68596829
6,5,452,15,1,68596829
6,5,453,15,2,68596829
6,5,454,15,3,68596829
6,5,455,15,4,68596829
6,5,456,15,5,68596829
6,5,457,15,6,68596829
6,5,481,16,0,68596829
6,5,482,16,1,68596829
6,5,483,16,2,68596829
6,5,484,16,3,68596829
6,5,511,17,0,68596829
6,5,34,1,3,68596829
7,1,535,17,24,79999080
7,1,419,13,28,79999080
7,1,420,13,29,79999080
7,1,446,14,25,79999080
7,1,447,14,26,79999080
7,1,448,14,27,79999080
7,1,449,14,28,79999080
7,1,450,14,29,79999080
7,1,474,15,23,79999080
7,1,475,15,24,79999080
7,1,476,15,25,79999080
7,1,477,15,26,79999080
7,1,478,15,27,79999080
7,1,479,15,28,79999080
7,1,480,15,29,79999080
7,1,502,16,21,79999080
7,1,503,16,22,79999080
7,1,504,16,23,79999080
7,1,505,16,24,79999080
7,1,506,16,25,79999080
7,1,507,16,26,79999080
7,1,508,16,27,79999080
7,1,509,16,28,79999080
7,1,510,16,29,79999080
7,1,531,17,20,79999080
7,1,532,17,21,79999080
7,1,533,17,22,79999080
7,1,534,17,23,79999080
7,1,535,17,24,79999080
7,1,536,17,25,79999080
7,1,537,17,26,79999080
7,1,538,17,27,79999080
7,1,539,17,28,79999080
7,1,540,17,29,79999080
7,1,559,18,18,79999080
7,1,560,18,19,79999080
7,1,561,18,20,79999080
